ZIP,DATE,TIME,TYPE
90703,2016-08-25,10:08:30,LARCENY THEFT
90745,2016-06-02,05:06:00,VANDALISM
91301,2016-05-22,01:05:00,LARCENY THEFT
91789,2016-06-07,05:06:00,LARCENY THEFT
90712,2016-01-02,10:01:00,GRAND THEFT AUTO
90059,2016-01-06,02:01:00,VANDALISM
90660,2016-05-13,02:05:00,GRAND THEFT AUTO
90222,2016-01-24,07:01:00,BURGLARY
90262,2016-07-15,11:07:00,BURGLARY
91301,2016-03-02,09:03:00,LARCENY THEFT
90746,2016-02-07,10:02:00,AGGRAVATED ASSAULT
91765,2016-03-07,11:03:47,FRAUD AND NSF CHECKS
91745,2016-05-08,10:05:27,NARCOTICS
90701,2016-07-02,07:07:00,SEX OFFENSES FELONIES
90723,2016-03-13,04:03:00,VEHICLE / BOATING LAWS
90706,2016-05-07,07:05:00,GRAND THEFT AUTO
90660,2016-06-22,12:06:00,NON-AGGRAVATED ASSAULTS
90660,2016-06-25,03:06:00,NON-AGGRAVATED ASSAULTS
91722,2016-05-15,12:05:00,NON-AGGRAVATED ASSAULTS
90706,2016-01-09,12:01:00,LARCENY THEFT
91351,2016-10-10,03:10:00,GRAND THEFT AUTO
90660,2016-12-20,07:12:00,LARCENY THEFT
90716,2016-09-05,01:09:00,NON-AGGRAVATED ASSAULTS
90056,2016-07-18,03:07:00,LARCENY THEFT
91744,2016-03-20,01:03:00,LARCENY THEFT
91724,2016-02-01,02:02:30,LARCENY THEFT
91744,2016-10-23,01:10:00,VANDALISM
91733,2016-10-08,03:10:00,DRUNK / ALCOHOL / DRUGS
90260,2016-07-09,12:07:00,FRAUD AND NSF CHECKS
90260,2016-10-04,02:10:01,VANDALISM
91106,2016-01-15,05:01:30,LARCENY THEFT
90606,2016-08-04,08:08:00,LIQUOR LAWS
91773,2016-08-18,12:08:00,LARCENY THEFT
90703,2016-01-15,01:01:00,LARCENY THEFT
90701,2016-03-09,03:03:00,GRAND THEFT AUTO
90255,2016-04-01,03:04:00,LARCENY THEFT
91351,2016-01-27,09:01:00,VEHICLE / BOATING LAWS
90706,2016-01-21,11:01:00,BURGLARY
90723,2016-05-14,12:05:00,VEHICLE / BOATING LAWS
91773,2016-04-22,09:04:00,BURGLARY
91355,2016-06-29,07:06:00,VEHICLE / BOATING LAWS
91384,2016-11-18,07:11:00,WEAPON LAWS
90043,2016-06-26,11:06:00,MISDEMEANORS MISCELLANEOUS
90059,2016-05-17,04:05:00,NARCOTICS
90638,2016-05-02,09:05:00,FELONIES MISCELLANEOUS
90638,2016-03-06,09:03:00,AGGRAVATED ASSAULT
90650,2016-03-13,04:03:00,NON-AGGRAVATED ASSAULTS
91302,2016-05-22,02:05:00,LARCENY THEFT
90250,2016-04-24,09:04:35,LARCENY THEFT
91355,2016-01-02,12:01:00,LARCENY THEFT
91773,2016-03-20,06:03:00,GRAND THEFT AUTO
91733,2016-01-01,12:01:00,LARCENY THEFT
90638,2016-08-07,03:08:30,VANDALISM
90638,2016-08-22,02:08:00,LARCENY THEFT
90638,2016-08-24,07:08:30,VANDALISM
90603,2016-08-24,09:08:00,LARCENY THEFT
90715,2016-09-23,06:09:00,LARCENY THEFT
90638,2016-08-25,03:08:00,VANDALISM
90069,2016-09-10,03:09:00,LARCENY THEFT
90046,2016-09-27,01:09:30,LARCENY THEFT
91780,2016-09-12,05:09:00,BURGLARY
93550,2016-08-30,10:08:00,NON-AGGRAVATED ASSAULTS
91744,2016-07-08,11:07:00,FRAUD AND NSF CHECKS
93551,2016-09-26,05:09:00,BURGLARY
93550,2016-09-01,06:09:00,NON-AGGRAVATED ASSAULTS
93550,2016-09-22,11:09:00,FRAUD AND NSF CHECKS
90255,2016-09-18,06:09:00,NARCOTICS
90001,2016-09-09,07:09:00,SEX OFFENSES FELONIES
90262,2016-09-22,08:09:00,ROBBERY
90304,2016-01-21,02:01:00,FORGERY
90660,2016-01-07,05:01:00,BURGLARY
90723,2016-02-24,12:02:58,DISORDERLY CONDUCT
90712,2016-01-23,02:01:00,LARCENY THEFT
90262,2016-01-03,06:01:00,LARCENY THEFT
93552,2016-01-24,03:01:00,LARCENY THEFT
90220,2016-08-03,10:08:00,ROBBERY
90260,2016-03-21,01:03:00,ROBBERY
90716,2016-07-27,03:07:00,GRAND THEFT AUTO
91011,2016-08-21,12:08:00,BURGLARY
90706,2016-05-14,11:05:00,MISDEMEANORS MISCELLANEOUS
90638,2016-08-23,02:08:00,ROBBERY
90745,2016-08-22,02:08:00,LARCENY THEFT
90260,2016-02-24,10:02:00,GRAND THEFT AUTO
91745,2016-07-10,11:07:05,NARCOTICS
90012,2016-03-18,07:03:00,AGGRAVATED ASSAULT
90220,2016-10-24,12:10:00,VANDALISM
90012,2016-03-05,01:03:00,VANDALISM
90660,2016-10-22,04:10:00,GRAND THEFT AUTO
90012,2016-09-22,07:09:00,NON-AGGRAVATED ASSAULTS
90012,2016-07-02,10:07:00,LIQUOR LAWS
90262,2016-06-18,11:06:00,VANDALISM
91302,2016-02-24,11:02:00,NARCOTICS
90723,2016-11-12,10:11:00,NON-AGGRAVATED ASSAULTS
90712,2016-11-01,02:11:00,MISDEMEANORS MISCELLANEOUS
90723,2016-09-08,02:09:30,MISDEMEANORS MISCELLANEOUS
